gene	type_fine	counts	method	rpkm	TPM_hand	salmon_tpm
b4143	CDS	266	RNA001_Ecoli_TEX_replicate1	1495.76446176777	78.1781987164264	2.780301
b0096	CDS	265	RNA001_Ecoli_TEX_replicate1	2674.77923507713	162.880780107912	5.792633
b3162	CDS	255	RNA001_Ecoli_TEX_replicate1	1249.45214585787	63.8405708319873	2.270403
b1088	CDS	253	RNA001_Ecoli_TEX_replicate1	4494.6326535844	381.902099907846	13.581827
b4314	CDS	251	RNA001_Ecoli_TEX_replicate1	4239.40168158655	344.669585904377	12.257703
b3302	CDS	250	RNA001_Ecoli_TEX_replicate1	12927.0188603654	14672.0445526939	521.81221
b2416	CDS	244	RNA001_Ecoli_TEX_replicate1	1307.70231788146	67.7822251164213	2.410582
b3984	CDS	237	RNA001_Ecoli_TEX_replicate1	3115.92568814364	213.863848920292	7.605776
b3316	CDS	231	RNA001_Ecoli_TEX_replicate1	7690.92522096761	2737.69069074464	97.362622
b4139	CDS	215	RNA001_Ecoli_TEX_replicate1	1385.78362351299	74.3683541482357	2.644809
b1719	CDS	210	RNA001_Ecoli_TEX_replicate1	1008.14655386128	51.3533793330213	1.826313
b2606	CDS	208	RNA001_Ecoli_TEX_replicate1	5548.11257877953	871.404829503058	30.990245
b3299	CDS	208	RNA001_Ecoli_TEX_replicate1	16596.509179625	21636.979708796	769.440716
b3315	CDS	208	RNA001_Ecoli_TEX_replicate1	5798.78031577258	1028.45876478983	36.575851
b2925	CDS	206	RNA001_Ecoli_TEX_replicate1	1767.0839423804	101.903607133846	3.624063
b1717	CDS	203	RNA001_Ecoli_TEX_replicate1	9537.6463823167	9613.40789351843	341.899828
b0440	CDS	201	RNA001_Ecoli_TEX_replicate1	6839.72369966304	2682.93502754485	95.415516
b3988	CDS	197	RNA001_Ecoli_TEX_replicate1	431.77406211041	20.3534855229565	0.723844
b4000	CDS	194	RNA001_Ecoli_TEX_replicate1	6601.52436683895	2589.4994793219	92.092588
b4172	CDS	194	RNA001_Ecoli_TEX_replicate1	5829.91762266297	1336.63921304775	47.535364
b4441	ncRNA	192	RNA001_Ecoli_TEX_replicate1	9710.94610258006	10770.8483391742	383.050628
b3636	CDS	187	RNA001_Ecoli_TEX_replicate1	10364.2180194733	12472.210285998	443.567964
b1089	CDS	186	RNA001_Ecoli_TEX_replicate1	9951.2639523007	11653.9514765513	414.434942
b3748	CDS	180	RNA001_Ecoli_TEX_replicate1	3976.21525232432	434.734406219208	15.460736
b4171	CDS	175	RNA001_Ecoli_TEX_replicate1	1705.00575074083	102.499196267407	3.645244
b3296	CDS	172	RNA001_Ecoli_TEX_replicate1	2567.72294627697	190.350914013921	6.76957
b3637	CDS	172	RNA001_Ecoli_TEX_replicate1	6745.71282496491	4547.04713792831	161.712148
b2607	CDS	155	RNA001_Ecoli_TEX_replicate1	1870.45704448938	122.857696309268	4.369266
b2417	CDS	151	RNA001_Ecoli_TEX_replicate1	2745.8105522736	238.453679650578	8.48028
b1227	CDS	148	RNA001_Ecoli_TEX_replicate1	2023.41260649217	141.977124357156	5.049223
b3703	CDS	140	RNA001_Ecoli_TEX_replicate1	9255.74550402162	12017.8861105503	427.404212
b1060	CDS	138	RNA001_Ecoli_TEX_replicate1	5028.71212423222	2624.98884768296	93.354671
b3705	CDS	138	RNA001_Ecoli_TEX_replicate1	775.998104225385	40.5586143716798	1.442412
b3983	CDS	135	RNA001_Ecoli_TEX_replicate1	2919.45243701617	309.657188787424	11.012535
b3731	CDS	133	RNA001_Ecoli_TEX_replicate1	2937.98126977297	321.220422373081	11.423766
b0015	CDS	127	RNA001_Ecoli_TEX_replicate1	1040.24750354933	59.18726087951	2.104914
b3357	CDS	125	RNA001_Ecoli_TEX_replicate1	1830.64586709288	134.002119700583	4.765602
b3528	CDS	125	RNA001_Ecoli_TEX_replicate1	899.664220841915	49.4916218373415	1.760102
b3870	CDS	124	RNA001_Ecoli_TEX_replicate1	814.558156493031	43.8898528884143	1.560883
b3461	CDS	123	RNA001_Ecoli_TEX_replicate1	1333.08746720686	83.4737964558644	2.968632
b3256	CDS	122	RNA001_Ecoli_TEX_replicate1	837.065197546803	45.5373312373049	1.619473
b1093	CDS	121	RNA001_Ecoli_TEX_replicate1	1525.81090733871	102.433983229428	3.642925
b3178	CDS	120	RNA001_Ecoli_TEX_replicate1	574.296515244361	29.2402963629141	1.039891
b3297	CDS	118	RNA001_Ecoli_TEX_replicate1	2807.6554485207	346.06238844275	12.307236
b3260	CDS	117	RNA001_Ecoli_TEX_replicate1	1122.19919582438	67.092390903942	2.386049
b3931	CDS	116	RNA001_Ecoli_TEX_replicate1	806.661516503763	44.0180863146579	1.565443
b0605	CDS	111	RNA001_Ecoli_TEX_replicate1	1824.84502832398	145.142219486137	5.161785
b3987	CDS	110	RNA001_Ecoli_TEX_replicate1	252.763655770203	11.9513295644044	0.425033
b0455	ncRNA	109	RNA001_Ecoli_TEX_replicate1	8928.10849502971	11594.1688935549	412.29761
b0734	CDS	108	RNA001_Ecoli_TEX_replicate1	877.629951215395	49.823493746471	1.771905
b3739	CDS	107	RNA001_Ecoli_TEX_replicate1	2606.2230761324	335.361274348066	11.926665
b2297	CDS	106	RNA001_Ecoli_TEX_replicate1	457.606820627935	22.9666197598069	0.816776
b0436	CDS	105	RNA001_Ecoli_TEX_replicate1	748.731338923167	41.0973898475419	1.461573
b1241	CDS	105	RNA001_Ecoli_TEX_replicate1	363.309636606456	17.7704707131374	0.631983
b3168	CDS	103	RNA001_Ecoli_TEX_replicate1	356.789590911013	17.4535687001842	0.620712
b0118	CDS	102	RNA001_Ecoli_TEX_replicate1	363.529473011246	17.8362071830424	0.63432
b1095	CDS	101	RNA001_Ecoli_TEX_replicate1	753.287909674604	41.8032580353035	1.486676
b3298	CDS	101	RNA001_Ecoli_TEX_replicate1	2625.92779748928	387.555555284727	13.782889
b4456	ncRNA	101	RNA001_Ecoli_TEX_replicate1	5466.84383570868	6463.34662889979	229.853787
b0016	CDS	100	RNA001_Ecoli_TEX_replicate1	832.351214390434	47.5761871103807	1.691982
b0912	CDS	100	RNA001_Ecoli_TEX_replicate1	3259.06531831747	1054.20826960378	37.491812
b1243	CDS	100	RNA001_Ecoli_TEX_replicate1	567.488994728487	29.709297739695	1.056571
b0181	CDS	98	RNA001_Ecoli_TEX_replicate1	1151.09525303822	74.6513626841064	2.654874
b1207	CDS	98	RNA001_Ecoli_TEX_replicate1	957.827940226102	57.6462528463228	2.05011
b3185	CDS	98	RNA001_Ecoli_TEX_replicate1	3529.42824666972	1759.30586711265	62.566125
b1101	CDS	97	RNA001_Ecoli_TEX_replicate1	626.522898736983	33.6372483040293	1.196263
b3687	CDS	97	RNA001_Ecoli_TEX_replicate1	2173.86758811162	242.844524341285	8.636434
b3732	CDS	97	RNA001_Ecoli_TEX_replicate1	649.643497749709	35.1513698075647	1.25011
b0930	CDS	95	RNA001_Ecoli_TEX_replicate1	628.068444915753	33.8882163357477	1.205188
b4557	CDS	95	RNA001_Ecoli_TEX_replicate1	3421.3845248329	1705.44956505818	60.650836
b0582	CDS	94	RNA001_Ecoli_TEX_replicate1	782.410141527008	44.7216158837578	1.590463
b2296	CDS	94	RNA001_Ecoli_TEX_replicate1	723.827019449278	40.4981684235918	1.440262
b2394	CDS	94	RNA001_Ecoli_TEX_replicate1	782.410141527008	44.7216158837578	1.590463
b2415	CDS	94	RNA001_Ecoli_TEX_replicate1	3385.36995088729	1687.49746437335	60.012406
b2175	CDS	91	RNA001_Ecoli_TEX_replicate1	1488.11455983387	117.864375468124	4.191686
b2697	CDS	91	RNA001_Ecoli_TEX_replicate1	320.255833028885	15.6921491068439	0.55807
b3734	CDS	91	RNA001_Ecoli_TEX_replicate1	546.575496992841	28.9187360862192	1.028455
b2323	CDS	90	RNA001_Ecoli_TEX_replicate1	682.800897837661	38.0560499779945	1.353411
b3702	CDS	89	RNA001_Ecoli_TEX_replicate1	587.142801039148	31.6653743794368	1.126136
b0416	CDS	88	RNA001_Ecoli_TEX_replicate1	1943.92745669189	212.536820818279	7.558582
b4175	CDS	88	RNA001_Ecoli_TEX_replicate1	811.260562105481	47.8559728994801	1.701932
b0116	CDS	87	RNA001_Ecoli_TEX_replicate1	565.484451439523	30.4005762079531	1.081155
b0628	CDS	87	RNA001_Ecoli_TEX_replicate1	834.45581227967	49.8892137490851	1.774242
b3704	CDS	87	RNA001_Ecoli_TEX_replicate1	2243.03581852335	324.73047558063	11.548641
b4401	CDS	87	RNA001_Ecoli_TEX_replicate1	1124.65064085179	76.4896724718306	2.720251
b0172	CDS	86	RNA001_Ecoli_TEX_replicate1	1429.07381211106	114.643164122021	4.077128
b3749	CDS	86	RNA001_Ecoli_TEX_replicate1	528.89974308695	28.1131326031706	0.999805
b0179	CDS	85	RNA001_Ecoli_TEX_replicate1	767.549627162769	44.9735980087883	1.599425
b2779	CDS	85	RNA001_Ecoli_TEX_replicate1	606.115845794944	33.2693155908672	1.183178
b3251	CDS	85	RNA001_Ecoli_TEX_replicate1	754.303324872328	43.9540454090929	1.563166
b4414	ncRNA	83	RNA001_Ecoli_TEX_replicate1	5690.56945802811	7432.57296952989	264.314488
b3433	CDS	83	RNA001_Ecoli_TEX_replicate1	696.488555606341	39.9043876642793	1.419145
b3650	CDS	83	RNA001_Ecoli_TEX_replicate1	364.434002293071	18.3315476413634	0.651936
b2696	CDS	82	RNA001_Ecoli_TEX_replicate1	4102.54665583661	4495.02864760106	159.859005
b3783	CDS	82	RNA001_Ecoli_TEX_replicate1	602.836482390606	33.3344203668633	1.185493
b3926	CDS	82	RNA001_Ecoli_TEX_replicate1	503.296506186852	26.7416716207561	0.951031
b4177	CDS	82	RNA001_Ecoli_TEX_replicate1	584.723521825711	32.095104452366	1.141419
b0026	CDS	81	RNA001_Ecoli_TEX_replicate1	266.234156898349	12.9556611124929	0.46075
b2742	CDS	81	RNA001_Ecoli_TEX_replicate1	658.222463411546	37.3676203098532	1.328928
b3738	CDS	81	RNA001_Ecoli_TEX_replicate1	919.896178927302	58.7582722186738	2.089658
b0439	CDS	80	RNA001_Ecoli_TEX_replicate1	314.553797927668	15.6040853116422	0.554938
b2780	CDS	80	RNA001_Ecoli_TEX_replicate1	452.327208504416	23.6646971044718	0.841603
b0415	CDS	79	RNA001_Ecoli_TEX_replicate1	1555.75296769725	146.769308082553	5.21965
b1831	CDS	79	RNA001_Ecoli_TEX_replicate1	1047.5700498821	72.2405725751542	2.569137
b3493	CDS	79	RNA001_Ecoli_TEX_replicate1	487.794459518151	25.9488136689954	0.922834
b3741	CDS	79	RNA001_Ecoli_TEX_replicate1	387.085174599104	19.7780591989294	0.70338
b4484	CDS	79	RNA001_Ecoli_TEX_replicate1	1462.40778963542	129.227159706152	4.595788
b0115	CDS	78	RNA001_Ecoli_TEX_replicate1	381.579360102371	19.4920478341337	0.693208
b0893	CDS	78	RNA001_Ecoli_TEX_replicate1	558.783397301615	30.7051146610562	1.091985
b1819	CDS	78	RNA001_Ecoli_TEX_replicate1	848.352701896224	53.1983963313648	1.891928
b2014	CDS	78	RNA001_Ecoli_TEX_replicate1	531.62603042245	28.8777588741944	1.026998
b4173	CDS	78	RNA001_Ecoli_TEX_replicate1	564.021991651318	31.0624971789347	1.104695
b3261	CDS	77	RNA001_Ecoli_TEX_replicate1	2407.74460746508	649.322271903696	23.092203
b3982	CDS	77	RNA001_Ecoli_TEX_replicate1	1307.69248405443	106.806932759186	3.798443
b0884	CDS	76	RNA001_Ecoli_TEX_replicate1	3226.77366195249	2688.63256952925	95.614471
b1712	CDS	76	RNA001_Ecoli_TEX_replicate1	2352.63096423292	607.962233603953	21.621551
b4396	CDS	76	RNA001_Ecoli_TEX_replicate1	809.478317958163	50.3294670999298	1.789899
b0174	CDS	75.984	RNA001_Ecoli_TEX_replicate1	924.163687749775	60.9330083633599	2.167013
b1226	CDS	74	RNA001_Ecoli_TEX_replicate1	964.683334221972	65.9069514369443	2.343891
b0733	CDS	73	RNA001_Ecoli_TEX_replicate1	430.911621041823	22.7236710520612	0.808136
b1208	CDS	73	RNA001_Ecoli_TEX_replicate1	793.971118441338	49.7882427203799	1.770651
b3495	CDS	73	RNA001_Ecoli_TEX_replicate1	1556.84198569949	162.01363306848	5.761794
b2533	CDS	72	RNA001_Ecoli_TEX_replicate1	829.904951792723	53.3609018464009	1.897708
b2608	CDS	72	RNA001_Ecoli_TEX_replicate1	1216.08335089335	98.8693632873114	3.516154
b2938	CDS	72	RNA001_Ecoli_TEX_replicate1	337.253884761921	17.1175099148269	0.608761
b0114	CDS	71	RNA001_Ecoli_TEX_replicate1	246.773537658857	12.0759557283113	0.429465
b2926	CDS	70	RNA001_Ecoli_TEX_replicate1	557.095602133718	31.4450488330207	1.1183
b3871	CDS	70	RNA001_Ecoli_TEX_replicate1	355.404380297045	18.259704341411	0.649381
b1225	CDS	69	RNA001_Ecoli_TEX_replicate1	415.244759283155	21.978426794894	0.781633
b3403	CDS	69	RNA001_Ecoli_TEX_replicate1	393.740098506468	20.6337888846456	0.733813
b4384	CDS	69	RNA001_Ecoli_TEX_replicate1	888.242614433229	60.2770045502518	2.143669
b3608	CDS	68	RNA001_Ecoli_TEX_replicate1	617.655244625584	36.2592333037088	1.28951
b0438	CDS	67	RNA001_Ecoli_TEX_replicate1	486.76212619266	26.838075267408	0.95446
b0811	CDS	67	RNA001_Ecoli_TEX_replicate1	831.280092184248	55.3501552295638	1.968453
b0175	CDS	66	RNA001_Ecoli_TEX_replicate1	712.811205677278	44.569810286728	1.585064
b2167	CDS	66	RNA001_Ecoli_TEX_replicate1	361.253224876066	18.7922639766509	0.668321
b2741	CDS	66	RNA001_Ecoli_TEX_replicate1	615.805648453051	36.4716617151152	1.297065
b3041	CDS	66	RNA001_Ecoli_TEX_replicate1	935.496482795447	67.0753580552738	2.385444
b3559	CDS	65	RNA001_Ecoli_TEX_replicate1	290.779824920931	14.6636605272352	0.521493
b3609	CDS	65	RNA001_Ecoli_TEX_replicate1	1288.27292882528	122.421386053064	4.353749
b3927	CDS	65	RNA001_Ecoli_TEX_replicate1	711.980423386279	44.7782922140403	1.592479
b0178	CDS	64	RNA001_Ecoli_TEX_replicate1	1221.37672630388	111.344405359345	3.959812
b0473	CDS	64	RNA001_Ecoli_TEX_replicate1	316.09803215442	16.1706336398803	0.575087
b4151	CDS	64	RNA001_Ecoli_TEX_replicate1	1650.0493377643	238.882188932877	8.495552
b0008	CDS	63	RNA001_Ecoli_TEX_replicate1	611.869849688733	36.7424675710836	1.306696
b0954	CDS	63	RNA001_Ecoli_TEX_replicate1	1125.69877751614	96.1587255391928	3.419754
b1830	CDS	63	RNA001_Ecoli_TEX_replicate1	284.72264001629	14.3783753029699	0.511347
b2910	CDS	63	RNA001_Ecoli_TEX_replicate1	1772.37679864244	323.107539347992	11.490887
b3065	CDS	63	RNA001_Ecoli_TEX_replicate1	2712.14868257378	2330.54303721442	82.884585
b3389	CDS	63	RNA001_Ecoli_TEX_replicate1	535.948498854193	30.8303899523753	1.096441
b3806	CDS	63	RNA001_Ecoli_TEX_replicate1	229.030623233842	11.2610784371105	0.400485
b1084	CDS	62	RNA001_Ecoli_TEX_replicate1	180.174637754895	8.6703387858584	0.308349
b1817	CDS	62	RNA001_Ecoli_TEX_replicate1	590.995078526612	35.2577765585599	1.253895
b3781	CDS	62	RNA001_Ecoli_TEX_replicate1	1744.24383358462	317.97884824723	11.308492
b0552	CDS	61	RNA001_Ecoli_TEX_replicate1	555.70912967059	32.6538881101926	1.161291
b4711	CDS	61	RNA001_Ecoli_TEX_replicate1	555.70912967059	32.6538881101926	1.161291
b2092	CDS	61	RNA001_Ecoli_TEX_replicate1	416.065199517553	22.6042709210448	0.80389
b1713	CDS	60	RNA001_Ecoli_TEX_replicate1	232.653845932676	11.5224273553579	0.409779
b3729	CDS	60	RNA001_Ecoli_TEX_replicate1	303.632985369763	15.5917403074399	0.554499
b0125	CDS	59	RNA001_Ecoli_TEX_replicate1	1018.8227327188	84.4054605957927	3.001765
b1092	CDS	59	RNA001_Ecoli_TEX_replicate1	587.82452608964	35.6240693985184	1.266921
b3505	CDS	58	RNA001_Ecoli_TEX_replicate1	528.379172473675	31.0479591867405	1.104178
b0809	CDS	57	RNA001_Ecoli_TEX_replicate1	730.716750317496	49.4782287557449	1.759626
b2579	CDS	57	RNA001_Ecoli_TEX_replicate1	1377.48692879695	174.650762697518	6.211216
b3414	CDS	57	RNA001_Ecoli_TEX_replicate1	917.526076050839	71.788963808182	2.553076
b2231	CDS	56	RNA001_Ecoli_TEX_replicate1	197.305576027869	9.66888970004405	0.343861
b3164	CDS	56	RNA001_Ecoli_TEX_replicate1	242.773652564502	12.1912087522295	0.433564
b2614	CDS	55	RNA001_Ecoli_TEX_replicate1	858.458689243152	65.6454570114598	2.334591
b3218	CDS	55	RNA001_Ecoli_TEX_replicate1	501.049215276761	29.4420302632884	1.047066
b0924	CDS	54	RNA001_Ecoli_TEX_replicate1	112.065080093535	5.26512816841121	0.187247
b3401	CDS	54	RNA001_Ecoli_TEX_replicate1	569.259974051444	35.2487356393952	1.253573
b3733	CDS	54	RNA001_Ecoli_TEX_replicate1	579.154411607379	36.1098611028984	1.284198
b0177	CDS	53	RNA001_Ecoli_TEX_replicate1	201.708269618892	9.96833358791434	0.35451
b2592	CDS	53	RNA001_Ecoli_TEX_replicate1	190.654687801456	9.36354226437909	0.333002
b3701	CDS	53	RNA001_Ecoli_TEX_replicate1	445.958647011951	25.5709426820411	0.909396
b0408	CDS	52	RNA001_Ecoli_TEX_replicate1	260.584064000609	13.360631869621	0.475153
b1091	CDS	52	RNA001_Ecoli_TEX_replicate1	505.035431489113	30.3271160904182	1.078542
b1288	CDS	52	RNA001_Ecoli_TEX_replicate1	610.785236305995	39.6109271385054	1.408709
b1331	CDS	52	RNA001_Ecoli_TEX_replicate1	473.719258079847	27.8361013398363	0.989953
b2477	CDS	52	RNA001_Ecoli_TEX_replicate1	465.472694592964	27.1978213091139	0.967253
b2551	CDS	52	RNA001_Ecoli_TEX_replicate1	384.117131850857	21.2652288124048	0.756269
b2587	CDS	52	RNA001_Ecoli_TEX_replicate1	370.800282133378	20.3529930673541	0.723826
b3084	CDS	52	RNA001_Ecoli_TEX_replicate1	423.678491381271	24.0702251721019	0.856025
b3612	CDS	52	RNA001_Ecoli_TEX_replicate1	311.721998840106	16.486710214405	0.586327
b3831	CDS	52	RNA001_Ecoli_TEX_replicate1	632.45567175969	41.699784624325	1.482996
b3981	CDS	52	RNA001_Ecoli_TEX_replicate1	1256.65474206038	159.33052035563	5.666372
b4170	CDS	52	RNA001_Ecoli_TEX_replicate1	260.584064000609	13.360631869621	0.475153
b4189	CDS	52	RNA001_Ecoli_TEX_replicate1	1462.91418300646	266.691937239613	9.484542
b0441	CDS	51	RNA001_Ecoli_TEX_replicate1	252.294505988831	12.9098071719432	0.45912
b3368	CDS	51	RNA001_Ecoli_TEX_replicate1	343.80409374006	18.6296327694767	0.662537
b3388	CDS	51	RNA001_Ecoli_TEX_replicate1	367.063002103501	20.1925817096353	0.718122
b3426	CDS	51	RNA001_Ecoli_TEX_replicate1	313.649847644587	16.6717414274616	0.592908
b3736	CDS	51	RNA001_Ecoli_TEX_replicate1	1004.34685256405	94.7498064836735	3.369648
b1634	CDS	50	RNA001_Ecoli_TEX_replicate1	308.114031425487	16.3839782427209	0.582674
b3649	CDS	50	RNA001_Ecoli_TEX_replicate1	1682.86281891302	628.782649947295	22.361988
b4142	CDS	50	RNA001_Ecoli_TEX_replicate1	1579.4787549525	445.066225949123	15.828254
b2507	CDS	49	RNA001_Ecoli_TEX_replicate1	287.59133145026	15.1495047013303	0.538771
b3250	CDS	49	RNA001_Ecoli_TEX_replicate1	411.179990659165	23.5580119945746	0.837809
b4174	CDS	49	RNA001_Ecoli_TEX_replicate1	360.231556550484	19.9193487558086	0.708404
b0180	CDS	48	RNA001_Ecoli_TEX_replicate1	976.430294929754	95.6697075174955	3.402363
b0259	CDS	48	RNA001_Ecoli_TEX_replicate1	437.279315150628	25.6948627752335	0.913803
b1224	CDS	48	RNA001_Ecoli_TEX_replicate1	118.695106650558	5.64051509691015	0.200597
b1274	CDS	48	RNA001_Ecoli_TEX_replicate1	171.072693181763	8.39350926260821	0.298504
b1850	CDS	48	RNA001_Ecoli_TEX_replicate1	693.09794725903	50.2754075219492	1.787976
b2512	CDS	48	RNA001_Ecoli_TEX_replicate1	377.144129196127	21.2141654990356	0.754453
b2796	CDS	48	RNA001_Ecoli_TEX_replicate1	344.667016441457	18.9499612967347	0.67393
b3169	CDS	48	RNA001_Ecoli_TEX_replicate1	298.773224070637	15.9191920424912	0.566144
b3228	CDS	48	RNA001_Ecoli_TEX_replicate1	893.915058738507	79.4675796314681	2.826156
b0081	CDS	47	RNA001_Ecoli_TEX_replicate1	949.825411984751	92.3319485829736	3.28366
b0721	CDS	47	RNA001_Ecoli_TEX_replicate1	1118.30344135994	137.838408956011	4.902035
b1109	CDS	47	RNA001_Ecoli_TEX_replicate1	333.604324148019	18.2913528472431	0.650507
b2609	CDS	47	RNA001_Ecoli_TEX_replicate1	1754.1130592299	1001.47268949305	35.615616
b3554	CDS	47	RNA001_Ecoli_TEX_replicate1	612.704279843685	41.8598205072484	1.488687
